MZ,intensity
8500,4.0225
8502,4.9134
8504,2.0342
8506,4.2096
8508,3.8314
8510,2.7076
8512,3.3402
8514,3.9063
8516,6.1943
8518,5.6464
8520,2.7796
8522,5.8623
8524,4.2443
8526,3.6915
8528,4.2499
8530,3.6418
8532,3.7677
8534,5.0034
8536,5.074
8538,5.1997
8540,4.7769
8542,3.5195
8544,4.8675
8546,5.4483
8548,4.5514
8550,4.8162
8552,4.4817
8554,3.6617
8556,4.0066
8558,3.2063
8560,4.3583
8562,2.9262
8564,2.9719
8566,3.1385
8568,1.6186
8570,4.6439
8572,3.8189
8574,3.0245
8576,4.4805
8578,2.296
8580,3.4068
8582,3.303
8584,3.6998
8586,3.7015
8588,2.8903
8590,3.5025
8592,3.4408
8594,4.0356
8596,4.3967
8598,4.436
8600,3.0686
8602,3.728
8604,2.8162
8606,2.8861
8608,3.6732
8610,4.7752
8612,3.1932
8614,4.0159
8616,3.6023
8618,4.5215
8620,2.9447
8622,3.6988
8624,4.0478
8626,4.4517
8628,4.8159
8630,3.8802
8632,2.8885
8634,3.5386
8636,3.4457
8638,5.9537
8640,3.9706
8642,4.9746
8644,4.3166
8646,5.031
8648,3.8015
8650,3.2553
8652,3.1372
8654,4.3815
8656,3.8367
8658,3.7692
8660,4.8755
8662,4.0908
8664,4.0583
8666,5.0795
8668,3.4608
8670,4.5619
8672,4.6948
8674,3.9471
8676,4.2424
8678,3.214
8680,3.1473
8682,3.9389
8684,4.3141
8686,5.6078
8688,3.3733
8690,4.0683
8692,4.0048
8694,2.842
8696,3.9928
8698,3.0998
8700,4.9459
8702,3.6872
8704,4.2958
8706,3.7555
8708,4.2727
8710,3.5905
8712,4.3398
8714,4.5295
8716,5.2609
8718,4.0019
8720,2.7272
8722,3.7373
8724,5.3802
8726,3.7872
8728,5.3082
8730,4.787
8732,5.7222
8734,3.3037
8736,4.4463
8738,3.6265
8740,6.4061
8742,4.8888
8744,5.2873
8746,3.6787
8748,4.2725
8750,4.6643
8752,5.9213
8754,5.2661
8756,6.2367
8758,4.5256
8760,5.8629
8762,5.5991
8764,5.0699
8766,6.478
8768,6.222
8770,5.9118
8772,4.7858
8774,6.3295
8776,5.6466
8778,5.1592
8780,5.5173
8782,5.6842
8784,5.246
8786,7.0947
8788,7.6636
8790,8.4818
8792,9.0801
8794,9.8774
8796,8.7851
8798,10.438
8800,9.5861
8802,8.9314
8804,9.2557
8806,9.9893
8808,13.655
8810,16.344
8812,20.187
8814,25.987
8816,28.497
8818,30.341
8820,30.662
8822,28.435
8824,24.918
8826,23.381
8828,18.661
8830,14.121
8832,10.258
8834,8.7168
8836,8.2582
8838,8.681
8840,7.4234
8842,7.2371
8844,8.4678
8846,10.234
8848,10.563
8850,10.586
8852,9.8263
8854,9.4244
8856,8.1823
8858,8.3088
8860,6.0226
8862,6.7048
8864,5.3901
8866,5.5369
8868,6.1076
8870,6.5212
8872,5.1744
8874,7.0513
8876,6.8547
8878,6.5291
8880,6.5337
8882,6.5048
8884,6.3295
8886,6.3802
8888,6.2002
8890,6.5652
8892,6.943
8894,6.1706
8896,5.7423
8898,6.4377
8900,6.2712
8902,5.557
8904,7.0616
8906,6.699
8908,6.6335
8910,6.9169
8912,6.7058
8914,5.7548
8916,6.111
8918,5.8683
8920,5.3171
8922,6.5989
8924,4.5918
8926,4.7243
8928,4.5063
8930,4.1789
8932,4.9082
8934,4.9046
8936,6.2132
8938,4.9916
8940,4.4225
8942,6.2642
8944,5.973
8946,4.911
8948,3.9852
8950,4.6984
8952,4.8744
8954,5.16
8956,4.763
8958,5.2218
8960,5.1475
8962,3.9466
8964,4.1017
8966,4.199
8968,4.3269
8970,4.442
8972,4.6822
